name,state,parent,diameter,distance,orbit,discovered,discoverer,text
Adrastea,i,Jupiter,21,"128,980",0.298,1979,Jewitt & Danielson,Adrastea and Metis orbit inside Jupiter's main ring and are undoubtedly the source of the material for this ring.
Aegir,u,Saturn,6,"20,735,000","1,116.50",2005,"D. Jewitt, S. Sheppard, J. Kleyna","Aegir is thought to be an object that was captured by Saturn's gravity, rather than having accreted from the dusty disk that surrounded the newly formed planet as the regular moons are thought to have done."
Aitne,u,Jupiter,3,"23,547,000",736,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Albiorix,u,Saturn,30,"16,392,000",783,2000,Gladman et al.,"Observations by Tommy Grav and James Bauer using telescopes on Mauna Kea, Hawaii in 2006 found that the color of Albiorix varies over its surface."
Amalthea,r,Jupiter,203,"181,300",0.498,1892,E. Barnard,"Amalthea is the reddest object in the solar system and it appears to give out more heat than it receives from the sun. This may be because, as it orbits within Jupiter's powerful magnetic field, electric currents are included in the moon's core. Alternatively, the heat could be from tidal stresses."
Ananke,f,Jupiter,20,"21,200,000",631,1951,S. Nicholson,"Ananke is the largest member of the Ananke group, a family of Jovian satellites which have similar orbits and are therefore thought to have a common origin."
Anthe,u,Saturn,1,"197,700",1.04,2004,the the Cassini Imaging Team,-
Aoede,u,Jupiter,4,"23,807,655",748.8,2003,"S. Sheppard, D. Jewitt, & J. Kleyna","Aoede is considered a member of the Pasiphae group. Most or all of the Pasiphae satellites are thought to have begun as a single asteroid that, after being captured by Jupiter's gravity, suffered a collision which broke off a number of pieces."
Arche,u,Jupiter,3,"23,064,000",715.6,2002,S. Sheppard,-
Ariel,f,Uranus,"1,160","191,240",2.52,1851,W. Lassell,"Ariel's surface appears to be the youngest of all the moons of Uranus. It has few large craters and many small ones, indicating that fairly recent low-impact collisions wiped out the large craters that would have been left by much earlier, bigger strikes."
Atlas,u,Saturn,32,"137,640",0.602,1980,R. Terrile,Atlas has a distinctive flying saucer shape created by a prominent equatorial ridge not seen on the other small moons of Saturn. Cassini images revealed in 2004 that a temporary faint ring of material with the orbit of Atlas.
Autonoe,u,Jupiter,4,"24,122,000",753,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Bebhionn,u,Saturn,6,"17,119,000",834.8,2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Belinda,f,Uranus,66,"75,260",0.624,1986,Voyager 2,-
Bergelmir,u,Saturn,6,"19,338,000","1,005.90",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Bestla,u,Saturn,7,"20,129,000","1,083.60",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Bianca,f,Uranus,42,"75,260",0.433,1986,Voyager 2,-
